ID,Transport,Vehicle Type,Frequency of Traveling by Air,Vehicle Monthly Distance Km
8596,private,diesel,frequently,1846
8597,public,,frequently,410
8598,walk/bicycle,,rarely,15
8599,walk/bicycle,,rarely,92
8600,walk/bicycle,,frequently,78
8601,private,petrol,frequently,6109
8602,public,,rarely,99
8603,private,electric,never,670
8604,walk/bicycle,,rarely,81
8605,private,diesel,very frequently,5916
8606,private,lpg,rarely,3091
8607,public,,rarely,1158
8608,private,diesel,very frequently,6488
8609,walk/bicycle,,frequently,88
8610,walk/bicycle,,frequently,92
8611,walk/bicycle,,never,78
8612,public,,never,1182
8613,private,hybrid,very frequently,7385
8614,walk/bicycle,,rarely,28
8615,walk/bicycle,,frequently,15
8616,public,,never,1131
8617,private,diesel,very frequently,2003
8618,public,,very frequently,179
8619,walk/bicycle,,very frequently,11
8620,walk/bicycle,,never,13
8621,public,,rarely,1145
8622,public,,rarely,776
8623,public,,never,462
8624,walk/bicycle,,frequently,97
8625,private,lpg,never,9395
8626,public,,never,1688
8627,private,diesel,rarely,2631
8628,private,petrol,very frequently,242
8629,private,petrol,never,1480
8630,private,electric,never,1695
8631,public,,never,1399
8632,public,,frequently,1996
8633,public,,rarely,1034
8634,private,lpg,frequently,3318
8635,walk/bicycle,,frequently,17
8636,private,electric,never,6631
8637,private,hybrid,frequently,257
8638,public,,never,1451
8639,walk/bicycle,,frequently,73
8640,walk/bicycle,,rarely,97
8641,walk/bicycle,,never,97
8642,private,petrol,frequently,1978
8643,private,hybrid,very frequently,3329
8644,walk/bicycle,,rarely,33
8645,private,diesel,frequently,9398
8646,private,diesel,never,227
8647,walk/bicycle,,frequently,73
8648,public,,frequently,952
8649,private,lpg,frequently,2639
8650,walk/bicycle,,rarely,63
8651,private,electric,frequently,5928
8652,public,,frequently,1045
8653,private,petrol,never,1868
8654,walk/bicycle,,frequently,76
8655,public,,rarely,1012
8656,public,,rarely,46
8657,walk/bicycle,,never,31
8658,public,,rarely,107
8659,private,hybrid,rarely,8046
8660,walk/bicycle,,rarely,74
8661,public,,rarely,1949
8662,private,electric,very frequently,2549
8663,walk/bicycle,,very frequently,66
8664,walk/bicycle,,never,11
8665,public,,frequently,1219
8666,private,diesel,rarely,7816
8667,walk/bicycle,,frequently,72
8668,public,,rarely,236
8669,private,lpg,rarely,5478
8670,private,petrol,never,1795
8671,walk/bicycle,,frequently,12
8672,walk/bicycle,,rarely,28
8673,walk/bicycle,,never,70
8674,public,,frequently,1934
8675,walk/bicycle,,rarely,7
8676,public,,frequently,806
8677,walk/bicycle,,rarely,93
8678,public,,rarely,1432
8679,private,diesel,rarely,5018
8680,public,,never,1425
8681,walk/bicycle,,rarely,87
8682,public,,never,1227
8683,walk/bicycle,,frequently,79
8684,walk/bicycle,,never,93
8685,walk/bicycle,,never,37
8686,private,hybrid,never,8908
8687,walk/bicycle,,never,24
8688,walk/bicycle,,frequently,14
8689,public,,frequently,207
8690,walk/bicycle,,never,85
8691,private,electric,never,8805
8692,walk/bicycle,,never,97
8693,walk/bicycle,,never,19
8694,private,petrol,frequently,1485
8695,walk/bicycle,,very frequently,24
8696,walk/bicycle,,never,10
8697,public,,never,486
8698,public,,frequently,582
8699,walk/bicycle,,rarely,81
8700,public,,very frequently,79
8701,public,,never,1618
8702,public,,frequently,1933
8703,private,lpg,frequently,8463
8704,walk/bicycle,,never,31
8705,walk/bicycle,,frequently,69
8706,public,,very frequently,1764
8707,private,petrol,rarely,7150
8708,walk/bicycle,,very frequently,49
8709,private,hybrid,frequently,3121
8710,private,lpg,rarely,8476
8711,walk/bicycle,,very frequently,73
8712,private,electric,frequently,7850
8713,walk/bicycle,,never,70
8714,walk/bicycle,,never,4
8715,walk/bicycle,,very frequently,3
8716,walk/bicycle,,very frequently,9
8717,private,hybrid,very frequently,8944
8718,walk/bicycle,,never,79
8719,walk/bicycle,,never,21
8720,public,,rarely,413
8721,public,,rarely,789
8722,public,,frequently,1963
8723,public,,never,145
8724,private,lpg,rarely,6986
8725,private,hybrid,rarely,1737
8726,public,,very frequently,619
8727,walk/bicycle,,never,33
8728,walk/bicycle,,frequently,7
8729,private,electric,rarely,523
8730,private,petrol,never,3384
8731,private,lpg,frequently,9215
8732,private,electric,frequently,6243
8733,public,,never,263
8734,walk/bicycle,,rarely,24
8735,walk/bicycle,,frequently,60
8736,private,electric,very frequently,1008
8737,public,,rarely,1208
8738,public,,frequently,1840
8739,public,,rarely,1083
8740,walk/bicycle,,rarely,34
8741,walk/bicycle,,frequently,66
8742,public,,rarely,1753
8743,private,electric,never,5441
8744,private,hybrid,frequently,5263
8745,walk/bicycle,,very frequently,2
8746,walk/bicycle,,rarely,9
8747,private,diesel,frequently,975
8748,public,,very frequently,720
8749,public,,very frequently,1215
8750,public,,very frequently,1612
8751,public,,very frequently,1499
8752,public,,very frequently,1713
8753,walk/bicycle,,never,59
8754,private,diesel,never,3433
8755,walk/bicycle,,very frequently,59
8756,public,,rarely,350
8757,walk/bicycle,,never,87
8758,public,,never,1655
8759,public,,frequently,1486
8760,public,,never,458
8761,walk/bicycle,,very frequently,42
8762,private,diesel,frequently,8338
8763,public,,never,688
8764,private,diesel,rarely,3847
8765,walk/bicycle,,very frequently,94
8766,public,,very frequently,1376
8767,public,,never,1230
8768,private,lpg,never,1960
8769,public,,frequently,1486
8770,walk/bicycle,,never,9
8771,walk/bicycle,,never,1
8772,public,,frequently,173
8773,walk/bicycle,,very frequently,96
8774,public,,rarely,957
8775,public,,never,1066
8776,private,diesel,rarely,3890
8777,private,diesel,rarely,2453
8778,walk/bicycle,,frequently,92
8779,private,petrol,never,6956
8780,walk/bicycle,,very frequently,19
8781,public,,very frequently,987
8782,public,,rarely,1620
8783,public,,frequently,1085
8784,walk/bicycle,,very frequently,83
8785,walk/bicycle,,very frequently,77
8786,private,petrol,rarely,3730
8787,public,,never,1193
8788,private,electric,frequently,1707
8789,public,,never,936
8790,public,,very frequently,405
8791,walk/bicycle,,never,85
8792,walk/bicycle,,frequently,70
8793,walk/bicycle,,rarely,83
8794,private,hybrid,very frequently,2187
8795,private,petrol,frequently,5473
8796,public,,rarely,238
8797,public,,rarely,1886
8798,public,,very frequently,635
8799,walk/bicycle,,frequently,31
8800,public,,frequently,1968
8801,public,,rarely,952
8802,walk/bicycle,,very frequently,97
8803,walk/bicycle,,very frequently,32
8804,private,diesel,never,4555
8805,walk/bicycle,,very frequently,70
8806,public,,very frequently,406
8807,private,electric,rarely,589
8808,public,,never,1484
8809,private,diesel,never,8809
8810,private,petrol,never,9316
8811,walk/bicycle,,never,70
8812,public,,frequently,630
8813,public,,never,1319
8814,walk/bicycle,,very frequently,91
8815,private,hybrid,frequently,2891
8816,private,electric,frequently,4538
8817,walk/bicycle,,frequently,64
8818,walk/bicycle,,rarely,36
8819,public,,frequently,647
8820,private,lpg,very frequently,8242
8821,public,,never,1274
8822,private,lpg,never,1817
8823,public,,very frequently,631
8824,walk/bicycle,,very frequently,11
8825,walk/bicycle,,never,50
8826,walk/bicycle,,rarely,5
8827,private,petrol,rarely,5762
8828,public,,very frequently,1481
8829,walk/bicycle,,never,25
8830,public,,never,1792
8831,public,,very frequently,1047
8832,private,electric,very frequently,6414
8833,private,electric,never,6105
8834,public,,very frequently,423
8835,private,hybrid,never,6044
8836,private,diesel,never,9193
8837,private,diesel,very frequently,2016
8838,public,,never,151
8839,public,,frequently,838
8840,public,,rarely,279
8841,walk/bicycle,,rarely,69
8842,public,,very frequently,1808
8843,walk/bicycle,,never,58
8844,public,,rarely,1489
8845,walk/bicycle,,frequently,97
8846,walk/bicycle,,very frequently,46
8847,private,electric,very frequently,9410
8848,walk/bicycle,,never,91
8849,walk/bicycle,,very frequently,65
8850,private,lpg,rarely,90
8851,walk/bicycle,,frequently,39
8852,private,hybrid,very frequently,5685
8853,private,diesel,never,3544
8854,public,,never,1978
8855,public,,rarely,1403
8856,private,electric,never,5437
8857,walk/bicycle,,never,38
8858,public,,very frequently,850
8859,public,,never,856
8860,public,,very frequently,1781
8861,walk/bicycle,,very frequently,83
8862,public,,rarely,1955
8863,public,,never,1477
8864,walk/bicycle,,very frequently,4
8865,walk/bicycle,,never,24
8866,public,,frequently,1006
8867,private,petrol,never,5647
8868,walk/bicycle,,rarely,55
8869,walk/bicycle,,rarely,98
8870,public,,rarely,880
8871,public,,very frequently,759
8872,walk/bicycle,,never,46
8873,walk/bicycle,,frequently,44
8874,public,,frequently,1425
8875,walk/bicycle,,very frequently,1
8876,walk/bicycle,,rarely,38
8877,walk/bicycle,,rarely,92
8878,public,,very frequently,1332
8879,private,hybrid,never,8641
8880,walk/bicycle,,very frequently,21
8881,private,petrol,very frequently,2060
8882,walk/bicycle,,never,99
8883,private,petrol,rarely,3899
8884,walk/bicycle,,very frequently,14
8885,walk/bicycle,,rarely,39
8886,public,,rarely,1308
8887,private,diesel,rarely,6583
8888,public,,never,401
8889,public,,frequently,1388
8890,private,diesel,very frequently,1841
8891,public,,frequently,841
8892,private,petrol,rarely,9272
8893,public,,frequently,1568
8894,walk/bicycle,,never,48
8895,private,petrol,frequently,1325
8896,private,petrol,rarely,7545
8897,walk/bicycle,,frequently,74
8898,private,petrol,frequently,4762
8899,public,,frequently,1944
8900,public,,very frequently,438
8901,walk/bicycle,,rarely,86
8902,walk/bicycle,,frequently,11
8903,private,diesel,never,4028
8904,private,hybrid,rarely,4071
8905,public,,frequently,1507
8906,public,,frequently,301
8907,public,,frequently,141
8908,walk/bicycle,,rarely,62
8909,public,,never,1298
8910,private,lpg,very frequently,1486
8911,walk/bicycle,,never,19
8912,public,,never,734
8913,private,petrol,never,7266
8914,public,,frequently,1454
8915,walk/bicycle,,rarely,17
8916,private,diesel,never,3997
8917,walk/bicycle,,rarely,31
8918,private,hybrid,rarely,8652
8919,public,,never,1687
8920,public,,never,1884
8921,private,diesel,never,430
8922,public,,never,76
8923,public,,very frequently,1210
8924,private,lpg,rarely,8083
8925,public,,rarely,977
8926,private,petrol,very frequently,4698
8927,private,electric,frequently,5698
8928,walk/bicycle,,never,73
8929,walk/bicycle,,never,63
8930,public,,rarely,1997
8931,walk/bicycle,,never,35
8932,private,diesel,never,5920
8933,private,petrol,very frequently,140
8934,private,diesel,frequently,7000
8935,public,,frequently,154
8936,private,hybrid,never,5937
8937,walk/bicycle,,never,34
8938,private,lpg,rarely,7097
8939,private,petrol,very frequently,3532
8940,walk/bicycle,,frequently,7
8941,private,electric,rarely,5186
8942,public,,frequently,1166
8943,walk/bicycle,,frequently,54
8944,walk/bicycle,,frequently,18
8945,public,,rarely,931
8946,public,,rarely,1946
8947,private,lpg,very frequently,9951
8948,public,,very frequently,397
8949,private,electric,rarely,7999
8950,walk/bicycle,,very frequently,76
8951,private,petrol,rarely,8720
8952,walk/bicycle,,frequently,62
8953,public,,never,1921
8954,private,electric,rarely,2653
8955,public,,very frequently,1024
8956,walk/bicycle,,frequently,55
8957,walk/bicycle,,rarely,64
8958,public,,frequently,1598
8959,private,lpg,rarely,744
8960,private,petrol,frequently,2095
8961,walk/bicycle,,very frequently,62
8962,private,electric,rarely,4325
8963,walk/bicycle,,frequently,6
8964,public,,frequently,1472
8965,private,lpg,rarely,4191
8966,public,,never,293
8967,walk/bicycle,,very frequently,84
8968,private,diesel,very frequently,804
8969,walk/bicycle,,rarely,74
8970,public,,very frequently,466
8971,public,,never,466
8972,walk/bicycle,,never,85
8973,public,,rarely,499
8974,public,,frequently,453
8975,private,petrol,never,6653
8976,public,,frequently,1028
8977,walk/bicycle,,very frequently,76
8978,private,diesel,frequently,3789
8979,public,,rarely,1556
8980,public,,never,931
8981,private,lpg,frequently,7388
8982,private,lpg,rarely,1225
8983,public,,never,406
8984,public,,very frequently,629
8985,private,petrol,never,2868
8986,walk/bicycle,,never,94
8987,private,petrol,rarely,1083
8988,public,,rarely,1078
8989,private,lpg,frequently,4145
8990,walk/bicycle,,never,46
8991,private,diesel,very frequently,3634
8992,public,,rarely,1367
8993,public,,frequently,685
8994,public,,very frequently,667
8995,walk/bicycle,,frequently,74
8996,public,,never,1941
8997,private,hybrid,never,4685
8998,public,,frequently,767
8999,public,,never,1692
9000,walk/bicycle,,never,94
9001,public,,frequently,1855
9002,public,,rarely,700
9003,walk/bicycle,,never,10
9004,walk/bicycle,,rarely,98
9005,walk/bicycle,,very frequently,83
9006,public,,very frequently,164
9007,walk/bicycle,,frequently,62
9008,walk/bicycle,,frequently,49
9009,public,,frequently,1126
9010,private,lpg,never,9179
9011,walk/bicycle,,very frequently,66
9012,walk/bicycle,,frequently,7
9013,public,,frequently,756
9014,walk/bicycle,,very frequently,76
9015,public,,rarely,1110
9016,private,diesel,frequently,2165
9017,public,,frequently,1632
9018,public,,frequently,1735
9019,public,,never,341
9020,private,lpg,never,3722
9021,walk/bicycle,,frequently,15
9022,private,electric,frequently,3913
9023,walk/bicycle,,rarely,94
9024,private,lpg,frequently,3116
9025,public,,frequently,1031
9026,private,electric,very frequently,8782
9027,private,lpg,very frequently,4384
9028,private,hybrid,never,2943
9029,private,hybrid,frequently,3616
9030,walk/bicycle,,very frequently,32
9031,walk/bicycle,,rarely,66
9032,public,,never,1040
9033,private,petrol,rarely,213
9034,public,,frequently,1739
9035,walk/bicycle,,very frequently,70
9036,public,,very frequently,440
9037,private,petrol,very frequently,30
9038,public,,never,1307
9039,public,,frequently,983
9040,walk/bicycle,,very frequently,58
9041,private,hybrid,frequently,8374
9042,walk/bicycle,,very frequently,85
9043,private,lpg,rarely,9742
9044,walk/bicycle,,rarely,53
9045,private,electric,rarely,7282
9046,private,hybrid,rarely,8005
9047,public,,very frequently,961
9048,public,,rarely,1507
9049,walk/bicycle,,very frequently,50
9050,walk/bicycle,,rarely,24
9051,private,petrol,never,9622
9052,walk/bicycle,,rarely,98
9053,public,,never,312
9054,private,hybrid,rarely,5413
9055,walk/bicycle,,frequently,60
9056,walk/bicycle,,rarely,34
9057,public,,never,826
9058,private,diesel,frequently,1510
9059,walk/bicycle,,frequently,11
9060,public,,never,801
9061,public,,rarely,1717
9062,private,diesel,never,5457
9063,walk/bicycle,,frequently,42
9064,walk/bicycle,,never,60
9065,walk/bicycle,,never,15
9066,private,hybrid,never,1703
9067,private,electric,never,1088
9068,public,,rarely,1764
9069,private,diesel,rarely,5808
9070,private,lpg,very frequently,3873
9071,public,,frequently,286
9072,private,hybrid,never,8305
9073,walk/bicycle,,rarely,67
9074,walk/bicycle,,frequently,94
9075,walk/bicycle,,frequently,34
9076,walk/bicycle,,never,82
9077,walk/bicycle,,rarely,75
9078,walk/bicycle,,rarely,72
9079,public,,very frequently,1759
9080,private,lpg,never,8699
9081,walk/bicycle,,rarely,93
9082,public,,rarely,773
9083,walk/bicycle,,frequently,91
9084,public,,never,449
9085,walk/bicycle,,never,92
9086,private,lpg,frequently,5071
9087,walk/bicycle,,frequently,71
9088,private,diesel,rarely,9351
9089,public,,very frequently,683
9090,walk/bicycle,,rarely,87
9091,public,,rarely,1301
9092,private,petrol,frequently,9789
9093,private,lpg,rarely,3438
9094,walk/bicycle,,rarely,30
9095,private,electric,rarely,5467
9096,private,lpg,never,5492
9097,walk/bicycle,,very frequently,56
9098,private,lpg,very frequently,4638
9099,private,lpg,rarely,4770
9100,private,diesel,frequently,2157
9101,private,petrol,rarely,7561
9102,private,lpg,rarely,8831
9103,walk/bicycle,,rarely,31
9104,private,hybrid,very frequently,2576
9105,private,electric,rarely,6830
9106,walk/bicycle,,rarely,23
9107,walk/bicycle,,never,92
9108,public,,rarely,1301
9109,walk/bicycle,,very frequently,90
9110,public,,never,1770
9111,private,petrol,very frequently,1291
9112,private,lpg,rarely,3495
9113,walk/bicycle,,frequently,55
9114,public,,very frequently,834
9115,walk/bicycle,,very frequently,89
9116,public,,rarely,1821
9117,public,,rarely,1337
9118,public,,never,1027
9119,private,electric,frequently,1937
9120,private,hybrid,frequently,2971
9121,walk/bicycle,,frequently,23
9122,public,,very frequently,1619
9123,walk/bicycle,,very frequently,52
9124,public,,never,1704
9125,walk/bicycle,,rarely,76
9126,public,,never,1346
